#loc subtype r0 xOffset zOffset lrtOffset tofOffset0 tofOffset1
#VANDLE BARS
0 big 50.5 1.0 0.00 0.000 40.833 0
1 big 50.5 -.9 0.00 0.000 0 0
2 big 50.5 .6 0.00 0.000 0 0
3 big 50.5 -.6 0.00 0.000 0 0
4 big 50.5 -1.8 0.00 0.000 0 0
5 big 50.5 -.8 0.00 0.000 0 0
6 big 50.5 -.1 0.00 0.000 0 0
7 big 50.5 1.4 0.00 0.000 0 0
8 big 50.5 -1.6 0.00 0.000 0 0
9 big 50.5 .1 0.00 0.000 0 0
10 big 50.5 -.8 0.00 0.000 40.43 0
11 big 50.5 .2 0.00 0.000 0 0
12 big 50.5 .3 0.00 0.000 0 0
13 big 50.5 -1.2 0.00 0.000 0 0
14 big 50.5 -.3 0.00 0.000 0 0
15 big 50.5 -.5 0.00 0.000 0 0
16 big 50.5 .4 0.00 0.000 0 0
17 big 50.5 -.7 0.00 0.000 0 0
18 big 50.5 -.6 0.00 0.000 0 0
19 big 50.5 .3 0.00 0.000 0 0
20 big 50.5 -.7 0.00 0.000 0 0
21 big 50.5 1.3 0.00 0.000 0 0
22 big 50.5 -.2 0.00 0.000 0 0
23 big 50.5 -.4 0.00 0.000 0 0
24 big 50.5 1.2 0.00 0.000 0 0
25 big 50.5 -.2 0.00 0.000 0 0
26 big 50.5 1.9 0.00 0.000 0 0
27 big 50.5 -.4 0.00 0.000 0 0
28 big 50.5 .5 0.00 0.000 0 0
29 big 50.5 2.7 0.00 0.000 0 0
30 big 50.5 2.6 0.00 0.000 0 0
31 big 50.5 .40 0.00 0.000 0 0
32 big 50.5 1.0 0.00 0.000 0 0
33 big 50.5 -1.0 0.00 0.000 0 0
34 big 50.5 1.0 0.00 0.000 0 0
35 big 50.5 -.40 0.00 0.000 0 0
36 big 50.5 0.0 0.00 0.000 0 0
37 big 50.5 1.2 0.00 0.000 0 0
38 big 50.5 -1.0 0.00 0.000 0 0
39 big 50.5 .6 0.00 0.000 0 0
40 big 50.5 -2.1 0.00 0.000 0 0
41 big 50.5 .7 0.00 0.000 0 0
42 big 50.5 0.00 0.00 0.000 0 0
43 big 50.5 -1.7 0.00 0.000 0 0
44 big 50.5 -2.9 0.00 0.000 0 0
45 big 50.5 -1.8 0.00 0.000 0 0
46 big 50.5 .2 0.00 0.000 0 0
47 big 50.5 -1.2 0.00 0.000 0 0

#Betas
0 beta  1.27   00.0   0.00   0.000  0.000  0.00
1 beta  1.27   00.0   0.00   0.000  0.000  0.00

#Liquid Scintillators
0 liquid 60.0   00.0   0.00   0.00   0.00   0.00
1 liquid 60.0   00.0   0.00   0.00   0.00   0.00




